forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
6,6,0.1,1,0,4564.694760546283,0.04492177858312796,0.3203503608155777,3.185673296821925e-19,PASS,False
6,7,0.05,1,0,4101.33685338909,0.04556557825198926,0.15699439885577451,1.223094187471358e-19,PASS,False
6,7,0.06,1,0,4244.162096209687,0.045511413174355475,0.15498691646111246,1.2021483390731165e-19,PASS,False
6,7,0.08,1,0,4529.8125818508815,0.045403543300072735,0.15105695168150854,1.1614124644213377e-19,PASS,False
6,7,0.1,1,0,4815.463067492075,0.04529628280010067,0.1472373987339115,1.1221670389025926e-19,PASS,False
6,8,0.05,1,0,4352.105160334882,0.07822074671963808,0.08409271643624915,5.291135213855305e-20,PASS,False
6,8,0.06,1,0,4494.930403155479,0.07812741663067468,0.08308900598831903,5.20654246727063e-20,PASS,False
6,8,0.08,1,0,4780.580888796674,0.07794149278183343,0.08112127223071043,5.041717164795104e-20,PASS,False
6,8,0.1,1,0,5066.231374437868,0.07775654426728218,0.07920518050497924,4.882526938311675e-20,PASS,False
6,9,0.05,1,0,4602.873467280675,0.10649741870914042,0.04690570243529316,2.416860509515165e-20,PASS,False
6,9,0.06,1,0,4745.698710101271,0.10637555452922187,0.046380789915318674,2.380627631763991e-20,PASS,False
6,9,0.08,1,0,5031.349195742467,0.1061327233989745,0.045350432242079936,2.3099139250731832e-20,PASS,False
6,9,0.1,1,0,5316.999681383661,0.10589108125294228,0.044345444713435635,2.2414689731046595e-20,PASS,False
6,10,0.05,1,0,4853.641774226467,0.131220887045908,0.02711073077125358,1.1579488782882154e-20,PASS,False
6,10,0.06,1,0,4996.467017047064,0.1310781667186317,0.026825163264119316,1.1416072213352819e-20,PASS,False
6,10,0.08,1,0,5282.117502688257,0.1307937110557098,0.026264000274869224,1.1096680823341092e-20,PASS,False
6,10,0.1,1,0,5567.767988329452,0.1305105611789985,0.025715850461894427,1.0786942464426935e-20,PASS,False
6,11,0.05,1,0,5104.410081172258,0.15302129553433097,0.016170749747299734,5.787351547503524e-21,PASS,False
6,11,0.06,1,0,5247.235323992855,0.15286335323448608,0.016009868502022146,5.7102011850822495e-21,PASS,False
6,11,0.08,1,0,5532.88580963405,0.15254849445269592,0.015693413869191257,5.559220386546974e-21,PASS,False
6,11,0.1,1,0,5818.536295275244,0.15223499604123686,0.01538389410883755,5.412552607141329e-21,PASS,False
6,12,0.05,1,0,5355.178388118051,0.17238810070168453,0.009919889483177615,3.0035094625870622e-21,PASS,False
6,12,0.06,1,0,5498.003630938648,0.17221912677600032,0.009826385745905383,2.9655715805358695e-21,PASS,False
6,12,0.08,1,0,5783.654116579843,0.17188221532386283,0.009642301800661687,2.8912431817170002e-21,PASS,False
6,12,0.1,1,0,6069.3046022210365,0.17154667868873258,0.00946204162054785,2.81892776580451e-21,PASS,False
7,2,0.05,1,0,3119.4674004377225,0.30479460203279896,24.26553276629575,1.0610263831540726e-16,FAIL,False
7,2,0.06,1,0,3262.2926432583195,0.30428785118166246,23.643773772092104,1.0246965264927808e-16,FAIL,False
7,2,0.08,1,0,3547.943128899514,0.30328025541773185,22.454453632910646,9.561153448273075e-17,FAIL,False
7,2,0.1,1,0,3833.593614540708,0.302280458055459,21.333453603843925,8.926012450961583e-17,FAIL,False
7,3,0.05,1,0,3370.2357073835146,0.23471736068785054,4.32328557887537,1.0475279815610323e-17,FAIL,False
7,3,0.06,1,0,3513.0609502041116,0.23437942915716425,4.240036685015855,1.020543431983627e-17,FAIL,False
7,3,0.08,1,0,3798.7114358453064,0.23370716341357334,4.078899488979389,9.688274640010735e-18,FAIL,False
7,3,0.1,1,0,4084.3619214865003,0.23303965169542717,3.924626342417903,9.199650904692843e-18,FAIL,False
7,4,0.05,1,0,3621.004014329307,0.1758664944781636,1.2330089563427833,1.9447283771902958e-18,FAIL,False
7,4,0.06,1,0,3763.8292571499037,0.1756519915860345,1.213059848021564,1.902613810077698e-18,FAIL,False
